"Method","Variable","Total_Predictions","True_Positives","True_Negatives","False_Positives","False_Negatives","Precision","Recall","Accuracy","Actual_Positives","Actual_Negatives","Predicted_Positives","Predicted_Negatives","Positives_Diff","Negatives_Diff","Rand_TP","Rand_TN","Rand_FP","Rand_FN","Rand_Precision","Rand_Recall","Rand_Accuracy","Precision_Index","Recall_Index","Accuracy_Index"
"KNN1","take_illspouse",5.2e+07,590000,4.4e+07,4200000,2900000,0.122,0.17,0.86,3490000,48200000,4790000,46900000,-1300000,1300000,6694.23076923077,37230769.2307692,10969230.7692308,3483305.76923077,0.000609901285698542,0.00191811769891999,0.720399757429647,0.121390098714301,0.16808188230108,0.139600242570353
"KNN1","take_illchild",7.4e+07,120000,6.6e+07,3900000,3400000,0.031,0.035,0.9,3520000,69900000,4020000,69400000,-5e+05,5e+05,194.594594594595,58864864.8648649,11035135.1351351,3519805.40540541,1.76337816232484e-05,5.52825552825553e-05,0.801757824291194,0.0309823662183768,0.0349447174447175,0.098242175708806
"KNN1","take_illparent",7.4e+07,630000,6.4e+07,5400000,3800000,0.104,0.144,0.87,4430000,69400000,6030000,67800000,-1600000,1600000,5363.51351351351,55351351.3513514,14048648.6486486,4424636.48648649,0.000381635752952725,0.00121072539808431,0.749786196192129,0.103618364247047,0.142789274601916,0.120213803807871
"KNN1","take_matdis",2.3e+07,2600000,1.4e+07,3e+06,3700000,0.467,0.412,0.71,6300000,1.7e+07,5600000,17700000,7e+05,-7e+05,293913.043478261,8521739.13043478,8478260.86956522,6006086.95652174,0.0335051546391753,0.0466528640441684,0.378354170554208,0.433494845360825,0.365347135955832,0.331645829445792
"KNN1","take_bond",1.6e+07,12000,1.5e+07,160000,380000,0.07,0.031,0.97,392000,15160000,172000,15380000,220000,-220000,9,14062500,1097500,391991,8.20038833394533e-06,2.29591836734694e-05,0.904225115740741,0.0699917996116661,0.0309770408163265,0.0657748842592593
"KNN1","need_own",7.4e+07,1200000,5.6e+07,7300000,9300000,0.14,0.114,0.78,10500000,63300000,8500000,65300000,2e+06,-2e+06,19459.4594594595,42378378.3783784,20921621.6216216,10480540.5405405,0.000929248083425828,0.00185328185328185,0.574496447667179,0.139070751916574,0.112146718146718,0.205503552332821
"KNN1","need_illspouse",5.2e+07,96000,4.9e+07,1600000,1300000,0.058,0.067,0.94,1396000,50600000,1696000,50300000,-3e+05,3e+05,177.230769230769,46173076.9230769,4426923.07692308,1395822.76923077,4.00331496719922e-05,0.000126956138417456,0.888015504151207,0.057959966850328,0.0668730438615825,0.0519844958487931
"KNN1","need_illchild",7.4e+07,0,6.8e+07,3800000,2400000,0,0,0.92,2400000,71800000,3800000,70400000,-1400000,1400000,0,62486486.4864865,9313513.51351351,2400000,0,0,0.842135936475559,0,0,0.0778640635244409
"KNN1","need_illparent",7.4e+07,37000,6.8e+07,2900000,3200000,0.013,0.012,0.92,3237000,70900000,2937000,71200000,3e+05,-3e+05,18.5,62486486.4864865,8413513.51351351,3236981.5,2.19883872436522e-06,5.71516836577078e-06,0.842851814700979,0.0129978011612756,0.0119942848316342,0.0771481852990209
"KNN1","need_matdis",2.3e+07,0,2.2e+07,270000,590000,0,0,0.96,590000,22270000,270000,22590000,320000,-320000,0,21043478.2608696,1226521.73913043,590000,0,0,0.920537106774697,0,0,0.0394628932253033
"KNN1","need_bond",3.9e+07,930000,3.7e+07,640000,880000,0.593,0.514,0.96,1810000,37640000,1570000,37880000,240000,-240000,22176.9230769231,35102564.1025641,2537435.8974359,1787823.07692308,0.00866417096335684,0.0122524436889078,0.890360989243118,0.584335829036643,0.501747556311092,0.0696390107568815
